bundi,2ABL100671,001,mf,,
balogungambari,2ABL100754,001,mf,,
barnawa,2ABL100261,001,mf,,
bosak,2ABL100069,001,mf,,
touchgold,2ABL100126,001,mf,NULL,
eloemede,2ABL100209,001,mf,,
omuaran,2ABL100337,001,mf,,
avuenegbe,2ABL100358,001,mf,,
okuta,2ABL100372,001,mf,,
foresight,2ABL100411,001,mf,,
unubi,2ABL100454,001,mf,,
iba,2ABL100474,001,mf,,
pathfinder,2ABL100811,001,mf,,
nice,2ABL100682,001,mf,,
alvana,2ABL100855,001,mf,,
caretaker,2ABL100456,001,mf,,
abmfb,2ABL100013,001,mf,,
solidrock,2ABL100719,001,mf,,
creditdirect,2ABL100033,001,mf,,
balera,2ABL100178,001,mf,,
bojiboji,2ABL100194,001,mf,,
iyede,2ABL100174,001,mf,,
sinceremfb,2ABL100300,001,mf,NULL,
sabonyelwa,2ABL100322,001,mf,,
astrapolis,2ABL100329,001,mf,,
firstheritage,2ABL100728,001,mf,,
ibeto,2ABL100475,001,mf,,
prosperity,2ABL100617,001,mf,,
numo,2ABL100859,001,mf,,
gbede,2ABL100207,001,mf,,
crevance,2A2L100848,001,cb,,
ukpor,2ABL100389,001,mf,,
ogboefere,2ABL100701,001,mf,,
nutokebola,2ABL100438,001,mf,,
shanono,2ABL100655,001,mf,,
ranmilowo,2ABL100321,001,mf,NULL,
oscotech,2ABL100759,001,mf,,
omak,2ABL100752,001,mf,,
kcfinance,2A2L100345,001,cb,,
ojatesan,2ABL100432,001,mf,,
mbawulu,2ABL100400,001,mf,,
challenge,2ABL100516,001,mf,,
ibolo,2ABL100735,001,mf,,
matrixenergy,2AFL100798,001,cb,,
primera,2ABL100156,001,mf,,
npf,2ABL100133,001,mf,,
directbridge,2ABL100268,001,mf,,
redoak,2A2L100838,001,cb,,
opticom,2A2L100057,001,cb,NULL,
kudi,2A2L100479,001,cb,,
fbnmerchant,2A1L260004,001,cb,,
monarch,2ABL100779,001,mf,,
ihiala,2ABL100600,001,mf,,
bayero,2ABL100590,001,mf,NULL,
bancorp,2A2L100081,001,cb,,false
frebson,2A2L100336,001,cb,,false
fundquest,2A2L100159,001,cb,,false
abigi,2ABL100348,001,mf,,false
