code_name,dpid,sbmxn_pt,ctgry,typ,day_first,id
mautech,2ABL100505,001,mf,,false,1051
destiny,2ABL100640,001,mf,,false,1052
thomasgilts,2A2L100340,001,cb,,false,977
brass,2ABL100755,001,mf,,false,1053
osina,2ABL100706,001,mf,,false,1054
gudusisa,2ABL100561,001,mf,,false,1055
abumfb,2ABL100232,001,mf,,false,1056
ada,2ABL100371,001,mf,,false,1057
iyinekiti,2ABL100436,001,mf,,false,1058
aniocha,2ABL100196,001,mf,,false,1059
omiye,2ABL100893,001,mf,,false,1060
personaltrust,2ABL100654,001,mf,,false,1061
osomhe,2ABL100851,001,mf,,false,1062
stellas,2ABL100815,001,mf,,false,1063
girei,2ABL100548,001,mf,,false,1064
partnership,2ABL100874,001,mf,,false,1065
goodshepherd,2ABL100896,001,mf,,false,1066
grandtreasurers,2A2L100725,001,cb,,false,1067
leconfin,2A2L100016,001,cb,,false,1068
esoe,2ABL100463,001,mf,,false,1048
umunnachi,2ABL100789,001,mf,,false,849
mouauvasmucs,2ABL100612,001,mf,,false,974
rosabon,2A2L100006,001,cb,,false,1030
newprudential,2A4L290059,001,mg,,false,1010
amju,2ABL100175,001,mf,,false,1045
pagefin,2A2L100987,001,cb,,false,980
udic,2A2L100988,001,cb,,false,993
fastcredit,2A2L100989,001,cb,,false,1024
solynta,2AFL101187,001,cb,,false,1533
otuo,2ABL100618,001,mf,,false,858
orilonise,2ABL100447,001,mf,,false,859
oraezue,2ABL100468,001,mf,,false,860
oko,2ABL100830,001,mf,,false,960
onibuore,2ABL100311,001,mf,,false,961
tanadi,2ABL100787,001,mf,,false,962
barnawa,2ABL100261,001,mf,"",false,747
bosak,2ABL100069,001,mf,"",false,748
touchgold,2ABL100126,001,mf,NULL,false,749
eloemede,2ABL100209,001,mf,"",false,750
omuaran,2ABL100337,001,mf,"",false,751
eacapital,2A2L100171,001,cb,,false,963
cashlink,2A2L100009,001,cb,,false,1534
okuta,2ABL100372,001,mf,"",false,754
foresight,2ABL100411,001,mf,"",false,755
unubi,2ABL100454,001,mf,"",false,756
iba,2ABL100474,001,mf,"",false,757
pathfinder,2ABL100811,001,mf,"",false,758
nice,2ABL100682,001,mf,"",false,759
ebarcs,2ABL100093,001,mf,,false,965
ugborimili,2ABL100636,001,mf,,false,964
caretaker,2ABL100456,001,mf,"",false,762
glory,2ABL100812,001,mf,,false,1069
kabo,2ABL100693,001,mf,,false,1070
ehor,2ABL100369,001,mf,,false,1071
aguleri,2ABL100849,001,mf,,false,1072
corecapital,2A2L100921,001,cb,,false,1073
balera,2ABL100178,001,mf,"",false,769
bojiboji,2ABL100194,001,mf,"",false,770
iyede,2ABL100174,001,mf,"",false,771
nsukka,2ABL100750,001,mf,,false,1074
sabonyelwa,2ABL100322,001,mf,"",false,774
firstheritage,2ABL100728,001,mf,"",false,776
ibeto,2ABL100475,001,mf,"",false,777
prosperity,2ABL100617,001,mf,"",false,778
numo,2ABL100859,001,mf,"",false,779
gbede,2ABL100207,001,mf,"",false,780
crevance,2A2L100848,001,cb,"",false,781
ukpor,2ABL100389,001,mf,"",false,782
ogboefere,2ABL100701,001,mf,"",false,783
nutokebola,2ABL100438,001,mf,"",false,784
shanono,2ABL100655,001,mf,"",false,785
ranmilowo,2ABL100321,001,mf,NULL,false,786
oscotech,2ABL100759,001,mf,"",false,787
omak,2ABL100752,001,mf,"",false,788
ojatesan,2ABL100432,001,mf,"",false,790
mbawulu,2ABL100400,001,mf,"",false,791
challenge,2ABL100516,001,mf,"",false,792
ibolo,2ABL100735,001,mf,"",false,793
matrixenergy,2AFL100798,001,cb,"",false,794
primera,2ABL100156,001,mf,"",false,795
nounmfb,2ABL100465,001,mf,,false,1076
owotutu,2ABL100141,001,mf,,false,1077
directbridge,2ABL100268,001,mf,"",false,798
redoak,2A2L100838,001,cb,"",false,799
kudi,2A2L100479,001,cb,"",false,801
fbnmerchant,2A1L260004,001,cb,"",false,802
garki,2ABL100060,001,mf,,false,1080
abestone,2ABL100919,001,mf,,false,1081
creditefinance,2A2L100345,001,cb,,false,789
oroscapital,2ABL100877,001,mf,,false,1079
